time,gFx,gFy,gFz,TgF
0.628000,-0.0405,0.2404,0.9306,0.962
0.633000,-0.0421,0.2457,0.9211,0.954
0.638000,-0.0313,0.2589,0.9242,0.960
0.642000,-0.0117,0.2738,0.9328,0.972
0.648000,0.0085,0.2828,0.9356,0.977
0.653000,0.0158,0.2830,0.9341,0.976
0.658000,0.0103,0.2792,0.9324,0.973
0.662000,-0.0005,0.2750,0.9311,0.971
0.668000,-0.0108,0.2714,0.9326,0.971
0.672000,-0.0226,0.2696,0.9364,0.975
0.677000,-0.0321,0.2678,0.9440,0.982
0.682000,-0.0373,0.2650,0.9582,0.995
0.688000,-0.0438,0.2599,0.9770,1.012
0.694000,-0.0487,0.2545,0.9937,1.027
0.698000,-0.0505,0.2477,1.0041,1.035
0.703000,-0.0514,0.2413,1.0066,1.036
0.709000,-0.0503,0.2404,1.0023,1.032
0.712000,-0.0490,0.2461,0.9909,1.022
0.717000,-0.0491,0.2535,0.9779,1.011
0.722000,-0.0521,0.2572,0.9651,1.000
0.729000,-0.0533,0.2590,0.9542,0.990
0.733000,-0.0510,0.2600,0.9463,0.983
0.738000,-0.0494,0.2586,0.9423,0.978
0.747000,-0.0460,0.2562,0.9401,0.975
0.748000,-0.0380,0.2597,0.9369,0.973
0.753000,-0.0291,0.2692,0.9378,0.976
0.756000,-0.0153,0.2800,0.9469,0.988
0.760000,-0.0014,0.2876,0.9556,0.998
0.765000,0.0098,0.2939,0.9582,1.002
0.770000,0.0147,0.2967,0.9530,0.998
0.775000,0.0109,0.2964,0.9473,0.993
0.780000,0.0003,0.2925,0.9456,0.990
0.785000,-0.0115,0.2841,0.9451,0.987
0.790000,-0.0252,0.2752,0.9475,0.987
0.794000,-0.0399,0.2660,0.9527,0.990
0.799000,-0.0541,0.2583,0.9574,0.993
0.805000,-0.0606,0.2543,0.9608,0.996
0.810000,-0.0616,0.2525,0.9610,0.995
0.815000,-0.0551,0.2544,0.9653,1.000
0.821000,-0.0471,0.2583,0.9702,1.005
0.825000,-0.0390,0.2627,0.9759,1.011
0.829000,-0.0329,0.2651,0.9775,1.013
0.834000,-0.0274,0.2650,0.9743,1.010
0.839000,-0.0266,0.2649,0.9659,1.002
0.844000,-0.0245,0.2664,0.9566,0.993
0.849000,-0.0266,0.2649,0.9468,0.983
0.854000,-0.0315,0.2644,0.9377,0.975
0.861000,-0.0385,0.2635,0.9268,0.964
0.867000,-0.0366,0.2673,0.9144,0.953
0.873000,-0.0318,0.2735,0.9114,0.952
0.877000,-0.0250,0.2772,0.9119,0.953
0.878000,-0.0221,0.2762,0.9138,0.955
0.884000,-0.0234,0.2735,0.9281,0.968
0.888000,-0.0297,0.2663,0.9434,0.981
0.894000,-0.0373,0.2627,0.9587,0.995
0.903000,-0.0420,0.2629,0.9723,1.008
0.908000,-0.0423,0.2644,0.9807,1.017
0.913000,-0.0418,0.2629,0.9895,1.025
0.917000,-0.0437,0.2622,0.9951,1.030
0.922000,-0.0417,0.2614,0.9988,1.033
0.927000,-0.0406,0.2597,1.0022,1.036
0.933000,-0.0367,0.2595,1.0033,1.037
0.937000,-0.0335,0.2629,1.0001,1.035
0.942000,-0.0289,0.2684,0.9922,1.028
0.948000,-0.0273,0.2760,0.9864,1.025
0.952000,-0.0245,0.2809,0.9833,1.023
0.958000,-0.0204,0.2834,0.9752,1.016
0.962000,-0.0102,0.2855,0.9656,1.007
0.967000,0.0021,0.2905,0.9552,0.998
0.974000,0.0141,0.2940,0.9441,0.989
0.978000,0.0238,0.2989,0.9330,0.980
0.982000,0.0268,0.2917,0.9260,0.971
0.987000,0.0258,0.2850,0.9236,0.967
0.995000,0.0216,0.2773,0.9228,0.964
0.997000,0.0188,0.2711,0.9212,0.960
1.002000,0.0143,0.2693,0.9200,0.959
1.017000,0.0095,0.2735,0.9147,0.955
1.018000,0.0088,0.2787,0.9074,0.949
1.019000,0.0083,0.2834,0.9045,0.948
1.022000,0.0051,0.2845,0.9054,0.949
1.028000,-0.0070,0.2842,0.9097,0.953
1.032000,-0.0215,0.2814,0.9196,0.962
1.036000,-0.0380,0.2773,0.9327,0.974
1.046000,-0.0443,0.2814,0.9391,0.981
1.047000,-0.0354,0.2940,0.9358,0.982
1.051000,-0.0215,0.3045,0.9285,0.977
1.055000,-0.0075,0.3135,0.9207,0.973
1.060000,0.0107,0.3287,0.9155,0.973
1.065000,0.0330,0.3500,0.9175,0.982
1.070000,0.0536,0.3716,0.9283,1.001
1.075000,0.0618,0.3896,0.9533,1.032
1.079000,0.0571,0.3901,0.9878,1.064
1.086000,0.0480,0.3507,1.0071,1.067
1.090000,0.0687,0.2582,0.9893,1.025
1.096000,0.0744,0.1721,0.9548,0.973
1.100000,0.0317,0.1335,0.9338,0.944
1.105000,0.0035,0.1223,0.9131,0.921
1.111000,-0.0036,0.1315,0.8896,0.899
1.114000,-0.0083,0.1552,0.8818,0.895
1.119000,-0.0183,0.1940,0.9053,0.926
1.130000,-0.0260,0.2392,0.9538,0.984
1.131000,-0.0273,0.2769,1.0064,1.044
1.143000,-0.0268,0.2983,1.0505,1.092
